PK_InfoEmpresas;nm_razao_social;fl_matriz
4080;ELEICOES 2004 GENESIO FERREIRA DE FREITAS VEREADOR;sim
4082;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL PARA VEREADOR PR PRTB;sim
4084;RAINHA DO VALE EXPORTADORA DE CEREAIS LTDA ME;sim
4087;JOSE RODRIGUES DA SILVA LOJA;sim
4090;FLORA GOVERNADOR LTDA;sim
4092;PIONIR SILVA LTDA;sim
4094;ELETRICA 102 SUL LTDA;sim
4096;LORENI CARARA ME;sim
4098;MAGAZINE MAIARA LTDA;sim
4100;JFT COMERCIO DE VESTUARIOS LTDA ME;sim
4103;FIBRAQUEL COMERCIAL LTDA ME;sim
4106;DINAIR GUIMARAES PINTO MAIA ME;sim
4108;L FERREIRA DE SOUSA ME;sim
4110;TEREZINHA NOGUEIRA DOS SANTOS ME;sim
4112;COMERCIO DE CONFECCOES PADILHA LTDA;sim
4114;ASSSOCIACAO COMUNITARIA DE MAPARY;sim
4117;FERDINANDO FERRAREZI FERTILIZANTES;sim
4120;BORGES VARIEDADES LTDA;nao
4122;RM MECANICA E METALURGICA LTDA;sim
4124;KISEMENTE REPRESENTACOES DE PRODUTOS AGROPECUARIOS LTDA;sim
4126;CASA DE CARNES J LEAL LTDA;sim
4128;COMPANHIA AGRO INDUSTRIAL METAL SUL;nao
4132;ROSENIR M F BARROS;sim
4134;MADEIREIRA DOIS IRMAOS LTDA ME;sim
4136;JORGE ANTONIO SILVANO SANTOS ME;sim
4138;TEMPO FRIO REFRIGERACAO LTDA;sim
4140;DREAMS COMERCIAL DE ARTESANATO LTDA;sim
4142;COMPANHIA BRASILEIRA DE ARMAZENAMENTO;nao
4145;NILVA DA SILVA MACEDO ME;sim
4147;FLAVIO BONTURI MOCOCA;sim
4149;ELEICOES 2004 JOAQUIM HERMES RODRIGUES DE ARAUJO VEREADOR;sim
4151;KHAIR & GIACOBBE COMUNICACAO ESTRATEGICA LTDA ME;sim
4153;M V DE ALMEIDA ME;sim
4155;ACIOMAR CONSTRUCOES LTDA SC;sim
4157;LAUDENOR NICOLI CARETA ME;sim
4159;TRANSVOLT SERVICOS TRANSPORTES PROJETOS E CONSTRUCOES ELETRI;sim
4161;LANCHONETE AJW LTDA;sim
4164;PICUCCI & PICUCCI LTDA ME;sim
4166;MGF AUTO PECAS LTDA ME;sim
4169;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL PARA VEREADOR PB PTC;sim
4172;JR SANT ANA INFORMATICA LTDA;sim
4175;VALDIVINO BERNARDINO RAMOS ME;sim
4178;ANTONIO VANDERLEI LIMA & CIA LTDA;sim
4181;DORACI MARQUES DA SILVA REGASSINI ME;sim
27333;CONDOMINIO MULTIPREDIAL ARAXA I E II;sim
4185;DANIEL BATISTA DE FREITAS;sim
4188;BELL CONTABILIDADE E ADMINISTRACAO DE PESSOAL LTDA SC;sim
4191;A D PAIXAO FERREIRA ME;sim
4193;SUPERMERCADO FRANCISCHINI LTDA;sim
4196;SAGRES TRADING SA;sim
4199;FREIOS GOTS AUTO PARTES SA;sim
4201;FRANCISCO CARLOS SANTOS SILVA;sim
4203;MANUEL JOAQUIM GONCALVES;sim
4205;JOAO VALEZIN NETO ME;sim
4207;GELDO TOUGUINHA XIMENDES;sim
4209;SLOVA COMERCIO E REPRESENTACOES LTDA;sim
4212;MORAGE EMPREITEIRA DE MAO DE OBRA LTDA;sim
4214;TRANSCITRUS LTDA;sim
4217;COPEMAVE COMERCIO DE PECAS PARA MAQ E VEICULOS LTDA;sim
4219;ENGETEC ENGENHARIA E REPRESENTACOES TECNICAS LTDA;sim
4222;RENATO GOMES LUPETI ME;sim
3126;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL PARA VEREADOR SP PDT;sim
4225;COSENTINI REPRESENTACOES LTDA ME;sim
4227;ELEICAO 2008 JOAO ALVES SILVA VEREADOR;sim
4229;GASPAROTTO & DELAZERI LTDA;sim
4231;CONFECCOES SAVIS LTDA;sim
4233;A S GOMES & CIA LTDA;sim
4235;UNIVERSAL COMERCIO INDUSTRIA E EXPORTACAO LTDA;sim
4237;AGUIDA COMERCIO DE ONIBUS LTDA;sim
4240;SUPERMERCADO E MERCEARIA VENDE A VISTA VENEZA DOIS LTDA;sim
30449;PROVECTA ADMINISTRACAO LTDA ME;sim
4244;VILMA ROCIO RIBEIRO DYBAS;sim
4246;M TEIXEIRA CUNHA;sim
4249;ROSSI BERETA COMERCIAL LTDA;sim
4251;ARISTILIANO ANDRADE DE CAMARGO;sim
4254;C A FERNANDES REPRESENTACOES LTDA SC;sim
4256;GERALDO BEZERRA CAVALCANTI;sim
4258;COMAGIO COMERCIO DE MAQUINAS AGRICOLAS GIONGO LTDA;sim
4260;OSVALDO PEREIRA BAR;sim
4262;CACADOR & CARVALHO LTDA;sim
4265;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL UNICO MG PSL;sim
4267;ADILSON DE ALENCAR ARAUJO ME;sim
4270;ADELMAR CHECCHI;sim
4272;MONICA DAS NEVES OHNO;sim
4274;RIO PARDO FM STEREO;sim
4276;E B IMOVEIS LTDA;sim
4278;ALFREDO FERREIRA COUTO ME;sim
4280;BH STONE LTDA;sim
4283;CEMAR CONSTRUCOES E DECORACOES LTDA;sim
4285;APM DA EEPG PROFESSORA VASSILISSA TRANDAFILOV SILVA;sim
4287;ELEICAO 2008 SEBASTIAO MACIEL DE OLIVEIRA FILHO VEREADOR;sim
4289;CY ATENDIMENTO E CONTATO LTDA SC;sim
4292;MARIA DA GLORIA TERRA RAMIREZ;sim
4295;RUBEN BUTH;sim
4297;ANTONIO AMORIM ACOUGUE;sim
4299;IPEQUI ADMINISTRACAO E EMPREENDIMENTOS TURISTICOS LTDA ME;sim
4301;PRO TRAILLER COMERCIO E REPRESENTACOES LTDA;sim
4303;WILSON ALVES FEITOSA;sim
4306;S & G SARGENTI LTDA ME;sim
4308;CARPINTARIA RODRIGUES E CUNHA LTDA;sim
4310;COMERCIAL DE FRUTAS E LEGUMES YASSUDA LTDA;sim
4312;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL PARA VEREADOR PR PPS;sim
4314;ABRAAO OSORIO & CIA LTDA;sim
4316;HORUS DISTRIBUIDORA LTDA;sim
4319;ADAILTON NETO SILVA ME;sim
4322;TORRE FORTE DE CAJURU SEGURANCA LTDA ME;sim
4324;CHROMIEC INSTALADORA DE CALHAS S C LTDA;sim
4326;M C VILHENA;sim
4328;REPAINT DO PARANA COM E REP DE TINTAS LTDA;sim
4331;AURIONE CASTILHOS & CIA LTDA;sim
4334;J C SEGURANCA E SERVICOS LTDA;sim
4336;MARIA TEREZINHA GOMES CARVALHO;sim
4338;JORGE ANTONIO ROSA;sim
4340;LAURA DE OLIVEIRA E SILVA;sim
4342;L PAES VIANA ME;sim
4344;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL PARA VEREADOR RS PR;sim
4346;JOAO NILSON DA ROCHA PAIVA MANUTENCAO ME;sim
4348;LIVRARIA E PAPELARIA FILIPPE LTDA;sim
4350;THALITA COMERCIO E REPRESENTACOES LTDA;sim
4352;FESTAS E NOIVAS ALUGUEIS DE ROUPAS LTDA;sim
4354;COMPANHIA CENICA CARAS & BOCAS;sim
4357;ADILSON LUIS ANGST ME;sim
4360;MARIA LUIZA DE ASSIS PEREIRA;sim
4363;ELEICAO 2008 PAULO PINHEIRO VEREADOR;sim
4365;XPRESS COMPUTER SERVICES NETWORKING LTDA;sim
4367;C V C CONSIGNACAO E COMERCIO LTDA ME;sim
27344;CONDOMINIO EDIFICIO OMEGA;sim
4371;ALENCAR DOS SANTOS;sim
4374;AGROMAZA AGRO PECUARIA ALTO AMAZONAS LTDA;sim
4377;JOAO PAULO DOS SANTOS POLES VINHEDO ME;sim
4379;OSMAR MARTINS BALBINO;sim
4381;ROTISSERIA SAL DOCE LTDA;sim
4383;L PINHEIRO TURISMO LTDA;sim
4385;OLIVEIRA E SILVA LTDA;sim
4388;ROSI MARIA RODRIGUES DE SOUZA;sim
4391;INCORPORADORA TONY LTDA;sim
4393;A G EL HOMSI;sim
4395;WOMANHOOD CONFECCOES LTDA;sim
4398;TRANSPORTES PONTAO LTDA;sim
4401;MERCADO BOLSA CHEIA LTDA;sim
4403;MIUDINHO ARMARINHO LTDA;sim
4406;MARIA DO CARMO DE OLIVEIRA CHAVES;sim
4409;LUCIA ALMEIDA DA SILVA;sim
4411;EUZELY FABRICIO DE SOUZA JUNIOR;sim
4413;J P MAT DE CONSTRUCAO E REPRESENTACAO COMERCIAL LTDA ME;nao
4415;KAZUYOSHI SAIKAWA;sim
4417;MARIA R BEZERRA ME;sim
4419;SERGIO RAVACCI DE OLIVEIRA JUNIOR;sim
4422;SEVERINO JOSE FRUTUOSO;sim
4424;OPCAO AUTO PECAS LTDA;sim
4426;HELLO BABY MODA INFANTIL LTDA;sim
4428;ORGANIZACAO NAO GOVERNAMENTAL VIDA LIMPA VIDA LIVRE;sim
4431;REVERSUL PINTURA LTDA;sim
4433;ASSOCIACAO DOS PEQUENOS PRODUTORES RURAIS DE LUZIA;sim
4436;DOGNAIN SUBEMPREITEIRA LTDA SC;sim
4439;PLANAUD PLANEJAMENTO E AUDITORIA LTDA;sim
4441;LAMEIRAS & ZUVELA ASSOCIADOS LTDA SC;sim
4443;AMASIL REPRESENTACOES COMERCIAIS LTDA;sim
4445;GILDCOR REPRESENTACOES LTDA;sim
4448;CARLITO SOARES DA SILVA ME;sim
4450;D S P SANTANA ME;sim
4452;IN DATA PROCESSAMENTO DE DADOS E SISTEMAS S C LTDA;sim
4455;NATHER REPRESENTACOES COMERCIAIS LTDA;sim
4458;RESTAURANTE E PIZZARIA PAGANUCCI LTDA;sim
4460;EMPREITEIRA DE MAO DE OBRA JOVI SOCIEDADE CIVIL LTDA;sim
4463;VILMAR HILGER COMERCIO E REPRESENTACOES LTDA;sim
4465;LA NEVES REPRESENTACOES COMERCIAIS LTDA;sim
4468;ESCOLA DE EDUCACAO INFANTIL PEQUENINOS LTDA SC;sim
4470;ARTIFINAL CONFECCOES LTDA;sim
4472;MXT ANTENAS PARABOLICAS LTDA;sim
4474;SUBEMPREITEIRA SANTANA LTDA;sim
4477;F DE ASSIS MONTEIRO;sim
4479;FRATERNIDADE CRUZEIRO DO SUL;sim
4481;CLEAN TEC COMERCIAL E SERVICOS LTDA;sim
4483;OFICINA DOIS AMIGOS LTDA;sim
4485;ZANK DISTRIBUIDORA DE ALIMENTOS LTDA;sim
4487;LIVRARIA E PAPELARIA FM LTDA;sim
4489;PROFISEG REPRESENTACOES E ASSESSORIA DE VENDAS LTDA;sim
4491;M A DA SILVA SOUZA FRANCO;sim
4493;FRANCISCA PAULA PESSOA;sim
4495;COUROS ART S E ACABAMENTOS LTDA;sim
4497;PETFLO REPRESENTACOES COMERCIAIS LTDA;sim
4499;ALICE PENCO;sim
4501;PANIFICADORA NOVA CAMPOS LTDA;sim
4503;LA BLANCK PAES E DOCES LTDA;sim
4505;MIRANDA E POSE LTDA;sim
4507;NAIR DE ALMEIDA GONCALVES;sim
4509;SEXPAM SOCIEDADE DE EXPANSAO MERCANTIL LTDA ME;sim
4512;GIORGIA PEREIRA DA SILVA ME;sim
4515;ARAGAS COMERCIO DE GAS LTDA;sim
4518;AVILA E SANTOS LTDA ME;sim
4520;ADILSON DIAS PEREIRA;sim
4522;PADARIA E CONFEITARIA PAO BOM LTDA;sim
4524;JOSE ALMIR CARNEIRO LIMA;sim
4527;COMERCIAL ATACADISTA CELMAR LTDA;sim
4529;COVADONGA EMPREENDIMENTOS E PARTICIPACOES SA;sim
4532;TULIPA FLORES E DECORACOES LTDA;sim
4534;GENNY GODOY HERNANDES ME;sim
4536;COPAS COMERCIO DE PRODUTOS ALIMENTICIOS SIUFI LTDA;sim
4538;NORTON CALVI VIGGIANO;sim
4541;EGINO A TOLAZZI & CIA LTDA;sim
4543;AILTON GARCIA NEGRI;sim
4546;SEBASTIAO JOSE ROSA;sim
4548;LISETE PEREIRA CARNEIRO ME;sim
4551;ARIOVALDO A PERES & CIA LTDA;sim
4553;J J O PESCADOS LTDA ME;sim
37282;MILLENNIUM EDITORA GRAFICA DE ITAPIRA LTDA;sim
4557;SAMAMBAIA BAR E LANCHONETE LTDA;sim
4559;JOAO BIIHRER MACHADO;sim
4561;CLEUSA APARECIDA DE ARAUJO PENHOLATO;sim
4563;IZAIAS BATISTA PEQUENO;sim
4565;RM PRODUCOES LTDA ME;sim
4567;MOGI CEREAIS LTDA;sim
4570;HIDROMAN ENGENHARIA LTDA ME SC;sim
4572;VALMIR DE SOUZA LEAL ME;sim
4575;ADELI COMERCIO DE CARNES E DERIVADOS LTDA;sim
4578;DARIO DE PAULA SANTOS E CIA LTDA;sim
4580;SERGIO S M JUNIOR LOCACAO DE GAMES;sim
4582;M N FERRAZ COMERCIO LTDA ME;sim
4585;J R ACCORSI & CIA LTDA;sim
4587;MARVELISE MULER DE OLIVEIRA & CIA LTDA ME;sim
4589;STAR SHOWER LTDA;sim
4591;TRANSPORTES DAMIANI LTDA ME;sim
4593;COMBEBE COMERCIO DE BEBIDAS E ESTIVAS LTDA;sim
4595;APARECIDO RODRIGUES SOARES & CIA LTDA;sim
4597;JAIME ANTONIO PRATTI;sim
4599;ZONA RURAL COMERCIO E IND DE ALIMENTOS VEGETAIS LTDA;sim
4602;EDILCE SALLES CORREIA LIMA;sim
4604;ELEICAO 2008 ROGERIO COZENDEY DA SILVA VEREADOR;sim
4606;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL UNICO PI PTB;sim
4608;IBAQUE COMERCIO E REPRESENTACOES LTDA;sim
4610;EDSON VIEIRA DA CRUZ;sim
4612;EDILSON CARLOS FERREIRA DA SILVA;sim
4614;WCA ELITE COMERCIO E DISTRIBUICAO DE PURIFICADORES LTDA;sim
4617;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL PARA VEREADOR SP PTC;sim
4619;COMERCIO DE CAFE E CEREAIS TRIUNFO LTDA;sim
4621;MYKONOS COMERCIO E SERVICOS DE ENGENHARIA LTDA ME;sim
4623;LISIANE ABREU ARQUITETURA E URBANISMO LTDA SS;sim
4627;PAULO KAZUO NODA FEIRANTE ME;sim
4630;AUTO MECANICA TREVO LTDA;sim
4632;MARPESCA COMERCIO EXPORTACAO LTDA;sim
4634;PACKPLAST INDUSTRIA E COMERCIO DE PLASTICOS LTDA;sim
4637;DIRCE S OLIVEIRA ME;sim
4639;J D VEMOTO;sim
4641;LUIZ SOARES DA SILVA;sim
4643;ELEICAO 2010 JANDUIR MOREIRA DA SILVA DEPUTADO ESTADUAL;sim
4645;ELEICAO 2010 RUBENS HONORIO DE MOURA DEPUTADO ESTADUAL;sim
4647;UNIAO DOS MORADORES DO BAIRRO SAO RAIMUNDO;nao
4650;FRANCISCO GALDINO DA SILVA MERCEARIA;sim
4653;EDVALDO RAMOS DA COSTA;sim
4656;CLARA C PURCHIO CERAMICA E ARTE;sim
4658;INDUSTRIA & COMERCIO CARVALHO ALVES LTDA;nao
4660;COMERCIO DE ROUPAS BLUES JEANS LTDA;sim
4662;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL PARA VEREADOR SP PSC;sim
4664;UNIVERSO SERVICOS LTDA ME;sim
4666;DEAPOL MODAS LTDA ME;sim
4668;ADEMIR ANANIAS SILVA;sim
4670;SUPERCOM SERVICOS AUXILIARES DE INFORMATICA LTDA ME;sim
4672;VARCON PRE MOLDADOS INDUSTRIA E COMERCIO LTDA;sim
4674;CRELAP CLUBE RECANTO LAGO AZUL PARTICIPACOES LTDA;sim
4676;BAR INSEQUAPIVEL LTDA ME;sim
4678;MERCEARIA ARCOZELO LTDA;sim
4680;ELAINE OTREMBA ESTRENGUETE DA SILVA ME;sim
4682;FERNANDA PINELLI HENRIQUES ME;sim
4684;HISHAM M R S SAMHAN ME;sim
4687;WALMOR DESCHAMPS & CIA LTDA;sim
4689;M R CARVALHO;sim
4691;CLOIR BUCHVAITZ;sim
4693;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL PARA VEREADOR MG PT;sim
4695;PAULO INACIO SCHARDONG;sim
4697;MADEIRART MADEIRAS E ARTEFATOS LTDA;sim
4699;SOLFERRO COMERCIO DE PRODUTOS SIDERURGICOS LTDA ME;sim
4702;IDALINA FALSARELLA PAGANI;sim
4704;SOCIEDADE BRASILEIRA DE DERMATOLOGIA SBD RJ;sim
4706;ACEC REPRESENTACOES LTDA SC;sim
4708;MAURO ROBERTO CANDIDO ME;sim
4710;FLORICULTURA CELESTIAL LTDA ME;sim
4713;FUNDACAO UBALDINO DO AMARAL;nao
4716;ADENILBA E MARTINS;sim
4718;A R DALLA COSTA & CIA LTDA;sim
4720;EVALDO OSCAR TEIXEIRA;sim
4722;V DE ALMEIDA & IRMAO LTDA ME;nao
4725;ACACIA DISTRIBUIDORA DE BEBIDAS LTDA;sim
4727;CENTRO SOCIAL COMUNITARIO KAME MIADAIRA DE CEDRO;sim
4729;FRANCISCO ELIAS DA SILVA;nao
4732;BENEVENUTO DE FRANCESCHI;sim
4735;JOSE NELSON WOJCIEKOVSKI;sim
4738;M J DE ALMEIDA ME;sim
4740;JOANA FERREIRA PACHECO;sim
4742;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL PARA VEREADOR PR PTB;sim
4744;JOSE FLAVIO GAMARANO;sim
4746;J B DE MORAIS;sim
4749;DIRETORIO DO PARTIDO DA SOCIAL DEMOCRACIA BRASILEIROA;sim
4752;CLEBIO TAVARES DA SILVA;sim
4755;COMERCIAL DE ESTIVAS FALCAO LTDA;sim
4757;AUTOPECAS BETIM LTDA;sim
4759;M L V ZIEMANN ME;sim
4761;JOAO OLIVEIRA CARNAUBA;sim
4764;RB REPRESENTACOES E COMERCIO LTDA;sim
4766;AGRO PECUARIA OURO GRAO LTDA;sim
4769;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL PARA VEREADOR PE PTC;sim
4772;COMERCIAL BRAGANCA DE PECAS E ACESSORIOS LTDA;sim
4774;EDSON P CORDEIRO;sim
4777;L R J CONSULTORIA LTDA ME;sim
4779;PANOR PARANAENSE DE TRANSPORTES LTDA;sim
4782;V A PIRES;sim
4784;ARMINDO PASTRO;sim
4786;ASSOCIACAO ATLETICA PONTA NEGRA;sim
4788;ANTONIO DOS SANTOS CARNEIRO;sim
4790;IVETTE CONFECCOES E IMPORTACAO E EXPORTACAO LTDA;sim
4792;GRAFICA M V S J LTDA ME;sim
4794;ECA CONSULTORIA E SISTEMAS LTDA ME SC;sim
4797;GERDAU SA;nao
4801;DIAMARCINDO ANTONIO;sim
4803;FABIOLA DOS SANTOS;sim
4806;J E BAR RESTAURANTE LTDA;sim
4808;IVO MONTEIRO VARGAS;sim
4810;A M LIMA MERCEARIA;sim
4812;NOEMIA BERNARDES PACHECO LEITE;sim
4814;ITAMOL ITA MOVEIS LTDA ME;sim
4817;V PEREIRA & PEREIRA LTDA;sim
4820;MARIA JOSE DE SOUZA ESTRELA ME;sim
4822;ELEICAO 2008 LUIZ CARLOS SILVERIO VEREADOR;sim
4824;PREMIER MATERIAL DE CONSTRUCAO EPP LTDA;nao
4826;CAMPOS & BORTOLINI LTDA;sim
4828;CITIZEN COMERCIO DE RELOGIOS LTDA;sim
4830;ANGELO IUS;sim
4832;JOSE ERLEI ROSA;sim
4834;ST AGENDA CULTURAL LTDA ME;sim
4836;NEIVALDO DA SILVA CONSTRUCOES;sim
4838;TIPOGRAFIA CANOENSE LTDA;sim
4840;VALFRIDES PROFIRIO DA SILVA;sim
4843;MAHE COMERCIO DE BRINQUEDOS LTDA;sim
4845;CLAUDIO JOSE FRIEDRICH;sim
4848;GELAO INDUSTRIA E COMERCIO LTDA ME;sim
4850;MARLY ZEO MALDONADO MARCHETTI ME;sim
4852;AUGUSTO & AMORIM CORT DE S DE VIDA CAPT PREV S LTDA;sim
4854;ATIVA PROMOTORA DE VENDAS LTDA SC;sim
4856;SILGLEY GORETTI CAMILO;sim
4858;ALCENIR CRUZ PINTO ME;sim
4861;SERVIGEL PORTEIROS E CONSERVACAO DE LIMPESA LTDA;sim
4863;MERCADO KI SHOW LTDA;sim
4865;MOVEIS KITOKE LTDA;sim
4867;GUSTAO COMERCIO DE TRATORES E PECAS LTDA;sim
4869;ANDERSON JOSE DE ARAUJO;sim
4872;ROSA DE LIMA ALVES LIMEIRA;sim
4874;A AIRES MENDES;sim
4876;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL PARA VEREADOR PA PMN;sim
4878;POMPEIA S A INDUSTRIA E COMERCIO;nao
4880;JAIR LUCIANO RODRIGUES;sim
4882;ELEICAO 2008 MARIA DA PAZ GOMES ARAUJO VEREADOR;sim
4884;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL PARA VEREADOR AC PTN;sim
4887;JOSE B DA SILVA;sim
4889;JOAO SOARES DE ALMEIDA;sim
4891;ALESSANDRO DI SANTO;sim
4893;COMPUTRADE INFORMATICA DO BRASIL LTDA;sim
4895;JOSE GENILDO AMARAL RAMOS;sim
4898;D P ANSELMI ME;sim
4900;JOSE MARINELLI;sim
4902;ROSA IGNEZ VALIATTI FERREIRA ME;sim
4904;ANTONIETA VALIO MOREIRA;sim
4906;UNIAO DO ROCK DO RIO DE JANEIRO;sim
4908;MARLI CHRISTIANE NOGUEIRA DE AMORIM;sim
4911;ASSOCIACAO DA IGREJA METODISTA;nao
4914;EMPRESA DE PESCA BRASILPEX LTDA;sim
4917;JOAO REIS DIAS;sim
27217;CONDOMINIO EDIFICIO BUENOS AIRES;sim
4922;GRUPO LARUTLCUPT LENIAP;sim
4924;JOSIARA MACHADO CRUZ VIEIRA DE MELO ITAPETININGA;sim
4926;J B FAIS;sim
4929;ASSOCIACAO DESPORTIVA DIPESUL AGRICOLA;sim
4931;NELSON OSVALDO DOS SANTOS;sim
4933;LUCIA ELENA COSTE E COLPA ME;sim
4935;CARMELINDA SIEVES ME;sim
4937;CLARISSE M SANTOS;sim
4939;MARIA APARECIDA ENGLATURES SAES;sim
4941;ILTON ANTONIO NOGUEIRA ME;sim
4944;TOYA RESTAURANT S LTDA;sim
4946;OSNY FOCK;sim
4948;EIJI IMAIZUMI ME;sim
4951;RENATO SCHLOSSER ME;sim
4954;LINDOLFO KONRADT ESLABAO;sim
4956;PAULO GARCIA DUARTE;sim
4959;SUPERCOM SUPERMERCADO DA CONSTRUCAO LAFAIETE LTDA ME;nao
4961;LANZA VIEIRA AGROINDUSTRIAL LTDA;nao
4963;MATOGROSSENSE EMPREENDIMENTOS IMOBILIARIOS LTDA ME;nao
4965;CASA DE MOVEIS SAO CRISTOVAO LTDA;sim
4968;PRO BEBE PUBLICIDADE LTDA;sim
4970;REPRESENTACOES BEROTH LTDA;sim
4972;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL UNICO PB PMDB;sim
4974;BELGO BEKAERT ARAMES LTDA;nao
4977;DELTA ARMAZENS GERAIS LTDA;nao
4980;PRO JET EMPREITEIRA E COM DE MAT DE CONSTRUCAO LTDA;sim
4982;JOAO BELOTTI;sim
4985;TREVO CARGA E DESCARGA LTDA;sim
4987;RAMIR JOSE DE CARVALHO;sim
4989;LUIZ RODRIGUES CARRILLO BAR E MERCEARIA;sim
4991;ARACRUZ CELULOSE SA;nao
4993;MIMOVEL VEICULOS LTDA;sim
4996;IVAN DE SOUZA CARVALHO ME;sim
4998;DURVAL DIAS;sim
5001;EVANDRO CEZAR PAIVA;sim
5003;F TERTO DA SILVA;sim
5005;WAGNER PREVATO ME;sim
5007;MARIA GOMES PEREIRA DA SILVA;sim
5009;NILSON TEIXEIRA;sim
5012;NELZA C PEREIRA ARMARINHO ME;sim
5014;REDE DE HOTEIS GUARUJA LTDA;nao
5017;GREMIO RECREATIVO BLOCO CARNAVALESCO FLOR DE PRIMAVERA;sim
5019;SIENA ENGENHARIA LTDA ME;nao
5021;ANA NEIDE PEREIRA BORGES BAR;sim
5023;JOSE BENEDITO PERES;sim
5025;MACOBEL MATERIAIS DE CONSTRUCAO BELO HORIZONTE LTDA;sim
5027;PAULO CESAR DE SOUZA;sim
5030;CARVALHO GUIMARAES & CIA LTDA;sim
5033;FARMACIA DROGANOSSA LTDA;sim
5036;JOSE FERNANDES VALES;sim
5038;REALCE RECURSOS HUMANOS LTDA;nao
5041;MARIA APARECIDA MARQUES BOTUCATU;sim
5043;STOLIS MODAS E COMERCIO LTDA;sim
5045;EDVALDO M LIMA CONFECCOES;sim
5047;ALHO CAMPEAO COMERCIO DE GENEROS ALIMENTICIOS LTDA;sim
5049;ELEICOES 2004 JANIVALDO JANIO FRAGA VIANA VEREADOR;sim
5051;FRANCISCO LIMA DE ALMEIDA VAREJISTA;sim
5053;IMPORTADORA VIEIRA CARDOSO LTDA;sim
5055;NASCIMENTO RACOES LTDA;sim
5058;VITORIA ATACADISTA LTDA;sim
5060;ESMALTACAO PORTELLA RIO INDUSTRIA E COMERCIO LTDA;sim
5062;COMERCIAL ALL BABY LTDA;sim
5065;A DA SILVA VALERIO ME;sim
5067;ELEICAO 2008 GILMAR DA SILVA COSTA VEREADOR;sim
5070;UNIAO DE MORADORES DO POVOADO BOA VISTA DO CASSIANO;sim
5072;PMI PROJETOS E MONTAGENS INDUSTRIAIS LTDA ME;sim
5074;SINTAGMA ASSESSORIA E ADMINISTRACAO DE CONDOMINIOS LTDA;sim
5076;ELEICAO 2008 CREUSA CESAR DE MORAIS BORGES VEREADOR;sim
5078;CENTRO SOCIAL DE SANTO AMARO;sim
5081;MOACIR JOSE DA SILVA BELUCI;sim
5083;DIRETORIO MUNICIPAL DO PARTIDO SOCIAL DEMOCRATICO;sim
5085;M TAVARES BOUTIQUE;sim
5087;DECIO LUIZ BERTECHINI ME;sim
5089;C N MANUTENCAO DE AUTOS LTDA;sim
5093;AMERICA SOARES DOS SANTOS;sim
5095;MARIA SILVA DOS SANTOS;sim
5097;EMANOEL VALDIVINO SOBRINHO BAR;sim
5099;F DE ASSIS MELO ME;sim
5101;RONEI FERNANDES DA PAIXAO;sim
5103;FERNANDES & FILHOS LTDA;sim
5105;KURT PROBST;sim
5108;ELEICAO 2008 JANUARIO NUNES DA SILVA JUNIOR VEREADOR;sim
5110;LUCELIA VIEIRA DE SOUZA;sim
5113;CLAUDENICE ROVERE;sim
5115;IVONE BOLIS COSTA CIMA;sim
5117;LINCOLN FABRICIO RODRIGUES ME;sim
5119;COPECAL CONDADO PECAS ACESSORIOS LTDA;sim
5122;LUCIANO AZEVEDO DOS SANTOS ME;sim
5125;AGROSOL PIMENTAS DO BRASIL LTDA ME;sim
5128;CONCORDIA DE ESTIVAS LTDA;sim
5130;R CESAR DE OLIVEIRA ME;sim
5133;JOSEFA MARIA DA SILVA DOCES;sim
5135;GIOVANNI CIRACI ME;sim
5137;LUIZ HIPOLITO DOS SANTOS ME;sim
5139;ILDEU DOS SANTOS ABBADIA;sim
5141;ELEICOES 2004 CARLOS ALBERTO FONTOURA LUIZ VEREADOR;sim
5143;B C TURISMO LTDA ME;sim
5145;ELEICOES 2004 RAIMUNDO ADEMAR DE SOUZA DOS SANTOS VEREADOR;sim
5147;ELEICOES 2004 CF EIRUNEPE AM COMITE FINANC MUN P VEREADOR PSDB;sim
5149;CEREAIS MARAO DO CEASA LTDA;sim
5151;NILAIR HELENA PARISE LAUDE ME;sim
5153;ELEICOES 2004 ANTONIO CARLOS GORGATTO VEREADOR;sim
5156;OSVALDO RAMOS DA CRUZ ME;sim
5159;ASSOCIACAO DOS REFLORESTADORES DO PIAUI;sim
5161;GONCALVES LANCHES E REFEICOES LTDA ME;sim
5163;R H M FRAZAO ME;sim
5166;OTICA E JOALHARIA TURQUESA LTDA ME;sim
